Country,Depression 
Guatemala,"401,300.00"
Guinea,"271,487.00"
Guinea-Bissau,"42,513.00"
Guyana,"35,212.00"
Haiti,"287,008.00"
Honduras,"169,775.00"
Hungary,"371,724.00"
Iceland,"9,567.00"
India,"44,887,371.00"
Indonesia,"5,121,758.00"
Iran,"3,264,733.00"
Iraq,"859,785.00"
Ireland,"196,470.00"
Israel,"325,506.00"
Italy,"2,630,579.00"
Jamaica,"77,909.00"
Japan,"3,504,905.00"
Jordan,"213,919.00"
Kazakhstan,"544,918.00"
Kenya,"1,236,653.00"
Kiribati,"2,402.00"
Kuwait,"95,924.00"
Kyrgyzstan,"164,088.00"
Laos,"132,195.00"
Latin America & Caribbean (WB),"19,412,299.00"
Latvia,"111,912.00"
Lebanon,"195,006.00"
Lesotho,"86,299.00"
Liberia,"116,974.00"
Libya,"230,938.00"
Lithuania,"170,125.00"
Luxembourg,"18,194.00"
Madagascar,"605,207.00"
Malawi,"356,666.00"
Malaysia,"862,114.00"
Maldives,"8,564.00"
Mali,"307,729.00"
Malta,"14,578.00"
Marshall Islands,"1,299.00"
Mauritania,"76,854.00"
Mauritius,"56,266.00"
Mexico,"3,142,074.00"
Micronesia (country),"2,623.00"
Middle East & North Africa (WB),"14,023,624.00"
Moldova,"156,088.00"
Monaco,"1,698.00"
Mongolia,"96,392.00"
Montenegro,"20,616.00"
Morocco,"1,514,327.00"
Mozambique,"672,117.00"
Myanmar,"935,107.00"
Namibia,"56,776.00"
Nauru,269
Nepal,"1,031,502.00"
Netherlands,"663,373.00"
New Zealand,"155,304.00"
Nicaragua,"152,713.00"
Niger,"358,331.00"
Nigeria,"4,920,595.00"
Niue,54
North America (WB),"15,254,653.00"
North Korea,"711,007.00"
North Macedonia,"61,881.00"
Northern Ireland,"87,311.00"
Northern Mariana Islands,"1,679.00"
Norway,"164,145.00"
OECD Countries,"48,593,544.00"
Oman,"85,713.00"
Pakistan,"4,561,246.00"
Palau,674
Palestine,"193,035.00"
Panama,"90,507.00"
Papua New Guinea,"164,845.00"
Paraguay,"180,970.00"
Peru,"580,817.00"
Philippines,"2,020,998.00"
Poland,"970,585.00"
Portugal,"623,007.00"
Puerto Rico,"123,921.00"
Qatar,"39,727.00"
Region of the Americas (WHO),"34,536,547.00"
Romania,"696,905.00"
Russia,"5,622,030.00"
Rwanda,"355,551.00"
Saint Kitts and Nevis,"1,997.00"
Saint Lucia,"5,232.00"
Saint Vincent and the Grenadines,"3,533.00"
Samoa,"4,390.00"
San Marino,"1,364.00"
Sao Tome and Principe,"4,295.00"
Saudi Arabia,"907,945.00"
Scotland,"225,560.00"
Senegal,"318,490.00"
Serbia,"325,389.00"
Seychelles,"2,399.00"
Sierra Leone,"172,508.00"
Singapore,"100,642.00"
Slovakia,"182,428.00"
Slovenia,"87,218.00"
Solomon Islands,"11,768.00"
Somalia,"406,459.00"
South Africa,"1,770,945.00"
South Asia (WB),"57,145,793.00"
South Korea,"1,055,548.00"
South Sudan,"260,584.00"
South-East Asia Region (WHO),"60,607,800.00"
Spain,"2,039,997.00"
Sri Lanka,"592,519.00"
Sub-Saharan Africa (WB),"26,345,492.00"
Sudan,"1,057,709.00"
Suriname,"23,613.00"
Sweden,"441,662.00"
Switzerland,"282,924.00"
Syria,"647,962.00"
Taiwan,"681,755.00"
Tajikistan,"153,738.00"
Tanzania,"1,277,792.00"
Thailand,"2,082,202.00"
Timor,"21,710.00"
Togo,"178,239.00"
Tokelau,35
Tonga,"2,342.00"
Trinidad and Tobago,"54,502.00"
Tunisia,"518,056.00"
Turkey,"3,109,719.00"
Turkmenistan,"122,781.00"
Tuvalu,294
Uganda,"1,408,785.00"
Ukraine,"2,578,017.00"
United Arab Emirates,"169,404.00"
United Kingdom,"2,825,502.00"
United States,"14,104,829.00"
United States Virgin Islands,"3,955.00"
Uruguay,"96,951.00"
Uzbekistan,"745,177.00"
Vanuatu,"5,327.00"
Venezuela,"760,980.00"
Vietnam,"2,056,190.00"
Wales,"139,162.00"
Western Pacific Region (WHO),"54,839,859.00"
World,"232,640,256.00"
World Bank High Income,"44,849,057.00"
World Bank Low Income,"16,639,665.00"
World Bank Lower Middle Income,"88,434,857.00"
World Bank Upper Middle Income,"82,587,735.00"
Yemen,"799,039.00"
Zambia,"320,418.00"
Zimbabwe,"297,893.00"
