Country,Depression 
Nigeria,"5,057,928.00"
Niue,53.00
North America (WB),"15,966,494.00"
North Korea,"748,958.00"
North Macedonia,"63,646.00"
Northern Ireland,"91,931.00"
Northern Mariana Islands,"1,587.00"
Norway,"168,258.00"
OECD Countries,"51,108,788.00"
Oman,"108,659.00"
Pakistan,"5,088,099.00"
Palau,633.00
Palestine,"230,177.00"
Panama,"100,435.00"
Papua New Guinea,"194,911.00"
Paraguay,"205,107.00"
Peru,"603,793.00"
Philippines,"2,309,667.00"
Poland,"989,691.00"
Portugal,"633,285.00"
Puerto Rico,"121,196.00"
Qatar,"82,119.00"
Region of the Americas (WHO),"35,842,223.00"
Romania,"676,721.00"
Russia,"5,433,725.00"
Rwanda,"383,747.00"
Saint Kitts and Nevis,"2,227.00"
Saint Lucia,"5,687.00"
Saint Vincent and the Grenadines,"3,712.00"
Samoa,"4,505.00"
San Marino,"1,455.00"
Sao Tome and Principe,"4,848.00"
Saudi Arabia,"1,173,240.00"
Scotland,"238,609.00"
Senegal,"358,504.00"
Serbia,"313,926.00"
Seychelles,"2,605.00"
Sierra Leone,"202,613.00"
Singapore,"117,236.00"
Slovakia,"183,571.00"
Slovenia,"84,682.00"
Solomon Islands,"13,111.00"
Somalia,"461,849.00"
South Africa,"1,979,152.00"
South Asia (WB),"55,283,676.00"
South Korea,"1,194,214.00"
South Sudan,"295,616.00"
South-East Asia Region (WHO),"58,724,359.00"
Spain,"2,462,794.00"
Sri Lanka,"606,332.00"
Sub-Saharan Africa (WB),"29,360,992.00"
Sudan,"1,194,927.00"
Suriname,"25,764.00"
Sweden,"464,643.00"
Switzerland,"359,610.00"
Syria,"718,897.00"
Taiwan,"740,408.00"
Tajikistan,"176,169.00"
Tanzania,"1,445,999.00"
Thailand,"2,260,843.00"
Timor,"24,171.00"
Togo,"208,206.00"
Tokelau,36.00
Tonga,"2,390.00"
Trinidad and Tobago,"55,934.00"
Tunisia,"559,991.00"
Turkey,"3,217,016.00"
Turkmenistan,"129,704.00"
Tuvalu,316.00
Uganda,"1,476,945.00"
Ukraine,"2,383,623.00"
United Arab Emirates,"345,525.00"
United Kingdom,"2,887,210.00"
United States,"14,801,937.00"
United States Virgin Islands,"3,987.00"
Uruguay,"100,193.00"
Uzbekistan,"821,753.00"
Vanuatu,"6,078.00"
Venezuela,"860,293.00"
Vietnam,"2,261,725.00"
Wales,"142,530.00"
Western Pacific Region (WHO),"57,059,123.00"
World,"241,178,646.00"
World Bank High Income,"47,241,004.00"
World Bank Low Income,"18,836,393.00"
World Bank Lower Middle Income,"89,120,337.00"
World Bank Upper Middle Income,"85,842,034.00"
Yemen,"945,960.00"
Zambia,"381,008.00"
Zimbabwe,"313,171.00"
