Country,Depression 
G20,"171,269,103.00"
Gabon,"79,810.00"
Gambia,"79,879.00"
Georgia,"152,882.00"
Germany,"3,479,876.00"
Ghana,"1,003,014.00"
Greece,"610,862.00"
Greenland,"3,618.00"
Grenada,"3,578.00"
Guam,"5,523.00"
Guatemala,"511,212.00"
Guinea,"347,736.00"
Guinea-Bissau,"55,710.00"
Guyana,"36,614.00"
Haiti,"362,419.00"
Honduras,"237,901.00"
Hungary,"362,115.00"
Iceland,"10,673.00"
India,"46,523,772.00"
Indonesia,"6,074,387.00"
Iran,"4,338,028.00"
Iraq,"1,389,713.00"
Ireland,"212,502.00"
Israel,"363,273.00"
Italy,"2,649,872.00"
Jamaica,"86,770.00"
Japan,"3,257,460.00"
Jordan,"361,824.00"
Kazakhstan,"616,094.00"
Kenya,"1,609,888.00"
Kiribati,"2,930.00"
Kuwait,"170,114.00"
Kyrgyzstan,"190,813.00"
Laos,"168,695.00"
Latin America & Caribbean (WB),"21,599,257.00"
Latvia,"96,724.00"
Lebanon,"253,984.00"
Lesotho,"96,981.00"
Liberia,"166,723.00"
Libya,"299,719.00"
Lithuania,"150,929.00"
Luxembourg,"21,151.00"
Madagascar,"831,507.00"
Malawi,"473,408.00"
Malaysia,"1,104,384.00"
Maldives,"12,701.00"
Mali,"444,914.00"
Malta,"15,702.00"
Marshall Islands,"1,444.00"
Mauritania,"100,971.00"
Mauritius,"56,240.00"
Mexico,"4,271,748.00"
Micronesia (country),"2,736.00"
Middle East & North Africa (WB),"18,714,935.00"
Moldova,"151,203.00"
Monaco,"1,835.00"
Mongolia,"121,830.00"
Montenegro,"20,965.00"
Morocco,"1,786,998.00"
Mozambique,"875,876.00"
Myanmar,"1,121,772.00"
Namibia,"69,144.00"
Nauru,271.00
Nepal,"1,239,476.00"
Netherlands,"685,726.00"
New Zealand,"168,086.00"
Nicaragua,"185,428.00"
Niger,"508,372.00"
Nigeria,"5,113,425.00"
Niue,55.00
North America (WB),"16,210,388.00"
North Korea,"795,739.00"
North Macedonia,"65,962.00"
Northern Ireland,"95,020.00"
Northern Mariana Islands,"1,456.00"
Norway,"183,744.00"
OECD Countries,"52,454,668.00"
Oman,"169,087.00"
Pakistan,"5,920,806.00"
Palau,635.00
Palestine,"250,974.00"
Panama,"112,100.00"
Papua New Guinea,"229,896.00"
Paraguay,"237,986.00"
Peru,"700,158.00"
Philippines,"2,624,364.00"
Poland,"1,000,648.00"
Portugal,"572,563.00"
Puerto Rico,"124,848.00"
Qatar,"114,395.00"
Region of the Americas (WHO),"37,678,153.00"
Romania,"658,487.00"
Russia,"5,519,376.00"
Rwanda,"445,325.00"
Saint Kitts and Nevis,"2,476.00"
Saint Lucia,"6,243.00"
Saint Vincent and the Grenadines,"3,977.00"
Samoa,"4,855.00"
San Marino,"1,536.00"
Sao Tome and Principe,"5,633.00"
Saudi Arabia,"1,464,782.00"
Scotland,"250,233.00"
Senegal,"415,155.00"
Serbia,"310,176.00"
Seychelles,"2,851.00"
Sierra Leone,"239,893.00"
Singapore,"124,581.00"
Slovakia,"183,089.00"
Slovenia,"84,086.00"
Solomon Islands,"14,706.00"
Somalia,"557,051.00"
South Africa,"2,216,103.00"
South Asia (WB),"62,201,412.00"
South Korea,"1,322,605.00"
South Sudan,"298,141.00"
South-East Asia Region (WHO),"65,481,574.00"
Spain,"2,565,141.00"
Sri Lanka,"650,019.00"
Sub-Saharan Africa (WB),"33,292,125.00"
Sudan,"1,360,399.00"
Suriname,"27,406.00"
Sweden,"471,157.00"
Switzerland,"375,558.00"
Syria,"579,781.00"
Taiwan,"794,065.00"
Tajikistan,"205,838.00"
Tanzania,"1,677,768.00"
Thailand,"2,419,561.00"
Timor,"27,853.00"
Togo,"243,069.00"
Tokelau,38.00
Tonga,"2,416.00"
Trinidad and Tobago,"58,482.00"
Tunisia,"599,324.00"
Turkey,"3,512,825.00"
Turkmenistan,"140,393.00"
Tuvalu,340.00
Uganda,"1,564,882.00"
Ukraine,"2,254,467.00"
United Arab Emirates,"389,512.00"
United Kingdom,"3,159,568.00"
United States,"14,967,077.00"
United States Virgin Islands,"4,079.00"
Uruguay,"107,495.00"
Uzbekistan,"919,544.00"
Vanuatu,"6,817.00"
Venezuela,"963,124.00"
Vietnam,"2,462,610.00"
Wales,"149,695.00"
Western Pacific Region (WHO),"61,733,126.00"
World,"262,439,139.00"
World Bank High Income,"48,381,622.00"
World Bank Low Income,"21,695,243.00"
World Bank Lower Middle Income,"99,200,131.00"
World Bank Upper Middle Income,"93,013,244.00"
Yemen,"1,118,575.00"
Zambia,"474,532.00"
Zimbabwe,"354,911.00"
