Country,Education
Uganda,5.51 years
Ukraine,11.16 years
United Arab Emirates,10.67 years
United Kingdom,12.98 years
United States,13.25 years
United States Virgin Islands,
Upper-middle-income countries,
Uruguay,8.67 years
Uzbekistan,11.36 years
Vanuatu,6.79 years
Vatican,
Venezuela,9.64 years
Very high human development (UNDP),11.96 years
Vietnam,8.04 years
Wallis and Futuna,
Western Sahara,
World,8.28 years
Yemen,3.00 years
Zambia,6.67 years
Zimbabwe,8.23 years
